gender,study_time,attendance,previous_marks,behavior_score,internet_usage,performance
male,1,97,57,2,0,Poor
male,1,93,87,5,0,Average
female,1,51,45,2,0,Poor
male,2,95,81,5,1,Excellent
male,4,87,57,1,0,Average
female,3,67,49,2,1,Average
male,1,74,46,3,1,Average
female,1,96,69,5,0,Average
female,1,85,58,5,1,Average
male,1,52,82,2,1,Average
male,2,56,64,3,1,Average
female,2,73,62,2,1,Average
male,2,84,86,2,0,Average
female,4,67,99,5,0,Excellent
female,1,64,92,1,1,Average
female,3,54,53,5,1,Average
male,4,75,96,4,0,Excellent
female,2,65,87,5,1,Excellent
female,4,73,54,2,1,Average
male,1,57,49,2,1,Poor
male,4,74,78,4,1,Excellent
male,1,93,96,5,1,Average
female,1,68,67,2,1,Average
male,3,82,88,2,0,Average
female,2,59,63,2,0,Average
female,4,51,47,3,1,Average
male,1,65,96,5,0,Average
male,4,54,88,5,0,Excellent
male,4,85,50,3,1,Excellent
male,2,95,59,4,1,Average
female,4,57,55,2,0,Average
female,1,87,75,2,0,Average
male,1,95,80,1,0,Poor
male,1,71,44,5,0,Average
female,4,63,74,2,1,Excellent
male,4,76,52,1,0,Average
female,3,77,66,4,0,Average
male,1,75,86,3,0,Average
male,2,62,74,4,0,Average
female,2,67,69,2,0,Average
female,1,53,81,5,0,Average
male,2,60,66,4,1,Average
male,4,53,50,4,0,Average
female,3,100,90,4,1,Excellent
female,4,59,52,3,0,Average
male,1,97,60,1,0,Poor
female,2,53,72,1,0,Poor
male,1,93,95,2,1,Average
male,2,87,78,1,0,Average
female,3,66,53,3,0,Average
female,4,58,82,3,1,Excellent
female,1,50,69,5,0,Average
male,2,82,56,2,1,Average
male,2,73,58,2,1,Average
female,1,92,92,5,1,Average
male,2,66,47,1,0,Poor
female,3,88,53,3,0,Average
female,4,66,97,1,0,Average
female,3,52,40,3,0,Average
female,2,97,68,5,1,Excellent
male,1,54,100,2,0,Poor
female,2,77,48,1,1,Average
female,1,72,53,2,0,Poor
female,4,89,87,2,0,Excellent
male,2,76,41,2,1,Average
female,2,67,50,1,1,Average
male,4,64,52,4,1,Excellent
female,2,64,41,2,1,Average
female,3,54,89,3,1,Average
female,3,51,47,3,0,Average
female,1,56,78,4,1,Average
female,4,88,72,1,1,Excellent
male,3,52,85,4,0,Average
male,3,77,44,3,1,Average
male,3,82,59,4,1,Excellent
female,3,85,48,2,1,Average
female,2,89,76,3,1,Average
male,3,68,53,4,1,Average
female,4,78,83,2,1,Excellent
male,1,68,72,5,1,Average
male,2,93,59,2,0,Average
male,1,52,55,4,0,Poor
female,4,90,76,2,1,Excellent
female,4,65,49,1,0,Average
female,2,61,91,5,1,Excellent
male,2,57,69,2,1,Average
female,4,89,92,5,1,Excellent
female,2,97,95,4,1,Excellent
female,2,90,57,5,1,Average
male,3,78,44,3,0,Average
female,3,70,97,5,0,Excellent
male,2,64,64,2,0,Average
male,4,76,61,5,1,Excellent
female,1,63,93,4,1,Average
male,4,80,40,3,1,Excellent
female,4,84,87,5,0,Excellent
female,2,67,67,4,0,Average
female,3,92,83,4,0,Excellent
female,2,89,74,1,1,Average
male,1,91,67,2,1,Average
male,1,66,64,3,0,Poor
female,3,71,88,4,1,Excellent
female,3,55,70,1,0,Average
female,2,91,44,1,0,Poor
male,2,51,79,2,0,Average
male,4,92,47,5,0,Excellent
female,3,99,63,2,0,Average
male,3,56,77,1,1,Average
female,4,95,52,1,0,Average
male,3,93,78,1,0,Average
female,4,92,63,1,1,Excellent
male,4,81,46,4,1,Excellent
female,2,77,51,5,1,Average
female,4,77,92,5,1,Excellent
female,2,55,57,4,0,Average
female,4,71,41,4,1,Excellent
male,4,63,62,3,1,Excellent
female,3,85,40,5,0,Average
male,2,96,66,4,0,Average
female,4,78,90,1,0,Average
female,2,75,84,2,1,Average
female,4,85,73,3,1,Excellent
female,3,94,69,3,1,Excellent
female,2,57,86,2,1,Average
male,2,62,53,4,1,Average
female,1,62,58,2,1,Poor
male,3,50,85,5,0,Average
female,1,53,75,3,0,Poor
female,1,50,76,3,1,Average
female,4,71,51,1,1,Average
female,1,54,65,4,0,Poor
male,2,59,91,5,1,Excellent
male,2,57,75,4,0,Average
female,4,78,59,5,1,Excellent
female,1,89,87,1,0,Poor
male,3,92,45,2,0,Average
male,1,60,40,4,1,Average
female,3,52,54,3,1,Average
female,1,93,54,3,0,Average
female,1,84,54,2,1,Average
male,1,53,50,3,1,Poor
female,1,79,84,3,1,Average
female,4,78,45,5,0,Excellent
female,3,88,56,1,0,Average
male,1,98,83,3,0,Average
male,4,83,81,4,1,Excellent
male,4,90,92,4,0,Excellent
female,3,76,61,3,0,Average
male,3,76,84,4,1,Excellent
female,1,79,45,3,1,Average
female,1,99,65,5,0,Average
female,4,53,52,5,1,Excellent
female,4,98,43,2,1,Excellent
male,3,78,96,4,0,Excellent
male,2,95,50,3,0,Average
female,1,64,93,1,1,Average
male,2,81,99,3,1,Average
female,4,80,55,4,0,Excellent
female,2,88,72,2,0,Average
female,4,71,99,5,1,Excellent
male,3,96,59,5,1,Excellent
male,4,84,70,3,1,Excellent
female,4,70,95,2,0,Excellent
female,2,99,66,1,1,Average
female,4,74,82,2,1,Excellent
male,2,82,77,3,0,Average
female,1,83,98,4,0,Average
male,4,91,49,1,1,Average
female,3,89,84,4,0,Excellent
female,4,70,80,4,0,Excellent
male,2,90,83,3,0,Average
male,4,56,88,1,1,Average
male,3,51,42,3,0,Average
female,3,73,67,2,0,Average
female,2,60,51,1,1,Average
male,4,87,49,2,1,Excellent
female,4,66,82,1,1,Average
female,2,54,68,3,1,Average
female,3,79,94,3,0,Average
female,4,56,55,4,1,Excellent
female,3,51,93,4,1,Excellent
male,1,88,87,4,1,Average
male,3,64,80,2,1,Average
male,1,90,81,1,1,Average
female,1,87,63,2,0,Poor
female,3,97,66,2,0,Average
male,3,83,72,3,0,Average
female,4,68,87,3,0,Excellent
female,1,59,88,2,1,Average
female,1,100,65,1,1,Average
male,4,73,83,3,1,Excellent
female,1,93,54,4,0,Average
female,2,91,44,4,1,Average
female,1,58,42,1,1,Poor
female,1,56,55,5,0,Average
female,4,73,82,5,1,Excellent
male,4,91,46,4,1,Excellent
female,1,94,63,2,1,Average
female,2,73,46,3,1,Average
male,4,67,52,1,1,Average
male,2,91,80,5,0,Average
male,3,65,48,5,0,Average
male,2,87,53,2,1,Average
male,1,67,94,2,0,Average
female,2,57,82,1,0,Poor
male,3,100,90,2,1,Excellent
male,2,66,43,2,1,Average
male,1,80,68,3,0,Average
female,2,89,42,5,1,Average
female,1,53,70,4,1,Average
male,4,95,98,4,0,Excellent
male,3,88,49,1,0,Average
female,3,74,78,5,1,Excellent
female,4,56,90,1,0,Average
female,4,64,66,3,1,Excellent
female,4,96,46,3,1,Excellent
female,3,73,49,4,0,Average
male,1,55,67,1,1,Poor
male,1,87,75,5,1,Average
male,4,72,95,4,0,Excellent
female,3,72,46,5,0,Average
male,4,64,94,1,1,Excellent
female,1,98,57,5,0,Average
female,1,88,99,3,0,Average
male,3,94,88,3,1,Excellent
female,1,61,95,2,1,Average
male,2,97,80,1,0,Average
male,4,76,69,3,0,Excellent
female,3,96,60,5,0,Excellent
male,2,60,88,5,0,Average
male,3,78,82,4,1,Excellent
female,4,67,53,5,0,Excellent
female,4,57,58,5,1,Excellent
female,1,64,65,5,0,Average
male,2,69,100,2,0,Average
female,3,70,47,1,1,Average
female,2,58,64,5,0,Average
female,1,75,95,1,1,Average
male,4,54,95,3,1,Excellent
female,4,68,47,4,0,Average
female,2,89,69,3,0,Average
female,1,65,67,5,1,Average
male,4,69,87,3,0,Excellent
